           y_out     y_out_norm         PT_out    density_out          u_out          v_out         ps_out          omega          angle
    -0.43631000      0.7335895       7617.671     0.07953505       57.13869     -114.38893       6945.387     0.18208191       -63.4573
    -0.43252700      0.7288548       7616.781     0.07953197       57.09311     -114.34307       6945.190     0.18316283       -63.4664
    -0.42874100      0.7241164       7616.114     0.07952887       57.05758     -114.31543       6944.990     0.18397385       -63.4751
    -0.42495100      0.7193730       7615.744     0.07952583       57.03524     -114.31204       6944.787     0.18442266       -63.4834
    -0.42115800      0.7146258       7615.805     0.07952295       57.03145     -114.34340       6944.586     0.18434929       -63.4912
    -0.41736100      0.7098736       7616.216     0.07952022       57.04278     -114.40316       6944.385     0.18385013       -63.4986
    -0.41356100      0.7051176       7616.987     0.07951763       57.06945     -114.49217       6944.183     0.18291373       -63.5057
    -0.40975700      0.7003567       7618.124     0.07951519       57.11162     -114.61091       6943.980     0.18153274       -63.5125
    -0.40594900      0.6955907       7619.631     0.07951288       57.16950     -114.75958       6943.778     0.17970198       -63.5190
    -0.40213700      0.6908198       7621.508     0.07951068       57.24321     -114.93783       6943.575     0.17742235       -63.5250
    -0.39832200      0.6860451       7623.748     0.07950858       57.33267     -115.14478       6943.373     0.17470233       -63.5305
    -0.39450400      0.6812666       7626.378     0.07950658       57.43930     -115.38223       6943.174     0.17150764       -63.5351
    -0.39068200      0.6764831       7629.235     0.07950464       57.55607     -115.63680       6942.976     0.16803805       -63.5390
    -0.38685700      0.6716959       7632.255     0.07950277       57.68025     -115.90358       6942.776     0.16437013       -63.5424
    -0.38302800      0.6669036       7635.384     0.07950100       57.80931     -116.17782       6942.579     0.16056964       -63.5454
    -0.37919500      0.6621064       7638.576     0.07949939       57.94122     -116.45556       6942.385     0.15669350       -63.5478
    -0.37535900      0.6573054       7641.799     0.07949794       58.07465     -116.73435       6942.194     0.15277891       -63.5499
    -0.37152000      0.6525006       7645.051     0.07949664       58.20922     -117.01369       6942.010     0.14882928       -63.5517
    -0.36767700      0.6476909       7648.356     0.07949551       58.34592     -117.29545       6941.835     0.14481515       -63.5530
    -0.36383100      0.6428773       7651.758     0.07949456       58.48679     -117.58301       6941.666     0.14068285       -63.5539
    -0.35998100      0.6380588       7655.296     0.07949380       58.63370     -117.87934       6941.503     0.13638627       -63.5540
    -0.35612800      0.6332365       7658.981     0.07949321       58.78733     -118.18511       6941.346     0.13191040       -63.5534
    -0.35227200      0.6284105       7662.794     0.07949280       58.94699     -118.49842       6941.198     0.12727998       -63.5520
    -0.34841200      0.6235795       7666.688     0.07949259       59.11067     -118.81539       6941.059     0.12255083       -63.5496
    -0.34454900      0.6187447       7670.623     0.07949259       59.27638     -119.13290       6940.932     0.11777116       -63.5467
    -0.34068300      0.6139061       7674.575     0.07949279       59.44288     -119.44911       6940.816     0.11297162       -63.5431
    -0.33681300      0.6090626       7678.523     0.07949315       59.60937     -119.76278       6940.708     0.10817597       -63.5392
    -0.33294100      0.6042165       7682.446     0.07949361       59.77507     -120.07247       6940.607     0.10341229       -63.5347
    -0.32906500      0.5993655       7686.310     0.07949407       59.93879     -120.37608       6940.507     0.09871892       -63.5299
    -0.32518500      0.5945094       7690.083     0.07949448       60.09917     -120.67137       6940.409     0.09413644       -63.5249
    -0.32130300      0.5896508       7693.742     0.07949483       60.25524     -120.95674       6940.311     0.08969248       -63.5196
    -0.31741800      0.5847885       7697.282     0.07949514       60.40685     -121.23185       6940.213     0.08539339       -63.5141
    -0.31352900      0.5799212       7700.708     0.07949543       60.55433     -121.49716       6940.114     0.08123280       -63.5083
    -0.30963700      0.5750501       7704.025     0.07949572       60.69786     -121.75321       6940.016     0.07720329       -63.5023
    -0.30574300      0.5701765       7707.239     0.07949602       60.83729     -122.00023       6939.921     0.07330046       -63.4962
    -0.30184500      0.5652979       7710.352     0.07949642       60.97240     -122.23830       6939.833     0.06951998       -63.4900
    -0.29794400      0.5604155       7713.370     0.07949697       61.10337     -122.46762       6939.754     0.06585439       -63.4838
    -0.29404000      0.5555294       7716.295     0.07949770       61.23064     -122.68844       6939.684     0.06230125       -63.4774
    -0.29013400      0.5506408       7719.134     0.07949857       61.35482     -122.90121       6939.620     0.05885303       -63.4707
    -0.28622400      0.5457472       7721.893     0.07949953       61.47650     -123.10652       6939.560     0.05550301       -63.4635
    -0.28231200      0.5408511       7724.574     0.07950051       61.59611     -123.30485       6939.502     0.05224697       -63.4559
    -0.27839700      0.5359512       7727.202     0.07950148       61.71457     -123.49799       6939.447     0.04905445       -63.4477
    -0.27447900      0.5310476       7729.771     0.07950243       61.83158     -123.68544       6939.396     0.04593438       -63.4391
    -0.27055900      0.5261414       7732.253     0.07950337       61.94593     -123.86520       6939.349     0.04292083       -63.4300
    -0.26663600      0.5212315       7734.604     0.07950426       62.05581     -124.03442       6939.304     0.04006501       -63.4207
    -0.26271000      0.5163179       7736.789     0.07950509       62.15949     -124.19065       6939.260     0.03741169       -63.4113
    -0.25878200      0.5114018       7738.792     0.07950587       62.25609     -124.33305       6939.217     0.03497910       -63.4019
    -0.25485100      0.5064819       7740.628     0.07950661       62.34602     -124.46289       6939.176     0.03274825       -63.3928
    -0.25091800      0.5015594       7742.336     0.07950732       62.43064     -124.58281       6939.138     0.03067418       -63.3837
    -0.24698200      0.4966333       7743.951     0.07950803       62.51132     -124.69537       6939.106     0.02871248       -63.3748
    -0.24304500      0.4917059       7745.494     0.07950875       62.58884     -124.80195       6939.080     0.02683936       -63.3660
    -0.23910400      0.4867735       7746.959     0.07950946       62.66317     -124.90237       6939.059     0.02505901       -63.3572
    -0.23516200      0.4818398       7748.313     0.07951003       62.73314     -124.99448       6939.039     0.02341537       -63.3485
    -0.23121800      0.4769036       7749.568     0.07951042       62.79952     -125.07950       6939.016     0.02189137       -63.3398
    -0.22727200      0.4719650       7750.731     0.07951063       62.86270     -125.15815       6938.989     0.02047831       -63.3312
